Timestamp,TP9,AF7,AF8,TP10,RightAUX
1732201844.316038,-163.0859375,26.3671875,198.2421875,-18.5546875,0.0
1732201844.3199434,-138.18359375,61.5234375,351.5625,2.44140625,0.0
1732201844.323849,-139.16015625,16.11328125,211.9140625,-17.08984375,0.0
1732201844.3277612,-170.41015625,12.6953125,225.09765625,-32.2265625,0.0
1732201844.3316665,-171.875,21.97265625,220.21484375,6.34765625,0.0
1732201844.335572,-150.390625,11.71875,139.16015625,-26.85546875,0.0
1732201844.3394775,-121.58203125,-9.765625,-69.82421875,-13.671875,0.0
1732201844.343383,-92.28515625,-22.4609375,-319.82421875,27.34375,0.0
1732201844.3472886,-89.35546875,-5.859375,-308.59375,-1.953125,0.0
1732201844.3511941,-42.96875,5.859375,-226.5625,23.92578125,0.0
1732201844.3550997,-19.53125,-22.4609375,-447.265625,58.59375,0.0
1732201844.3590052,-33.203125,-21.484375,-631.8359375,20.5078125,0.0
1732201844.3629107,-30.2734375,35.15625,-432.12890625,24.90234375,0.0
1732201844.3668163,-29.78515625,16.11328125,-489.74609375,50.29296875,0.0
1732201844.3707218,-41.015625,14.6484375,-464.35546875,16.11328125,0.0
1732201844.3746336,-52.24609375,29.78515625,-371.09375,7.32421875,0.0
1732201844.378539,-45.8984375,9.27734375,-437.5,4.39453125,0.0
1732201844.3824446,-38.0859375,-9.765625,-522.94921875,-4.39453125,0.0
1732201844.3863502,-32.2265625,-20.01953125,-579.58984375,57.12890625,0.0
1732201844.3902557,-28.80859375,-7.8125,-498.046875,55.17578125,0.0
1732201844.3941612,-44.43359375,-9.27734375,-460.44921875,26.85546875,0.0
1732201844.3980668,-41.015625,-11.23046875,-523.4375,41.9921875,0.0
1732201844.4019723,-29.78515625,-49.8046875,-676.7578125,41.9921875,0.0
1732201844.4058778,-9.765625,-20.5078125,-581.54296875,62.98828125,0.0
1732201844.4097834,-5.859375,35.64453125,-323.73046875,83.984375,0.0
1732201844.413689,22.94921875,-7.32421875,-393.5546875,79.1015625,0.0
1732201844.4175942,42.48046875,-16.11328125,-499.51171875,68.84765625,0.0
1732201844.421506,14.6484375,5.37109375,-466.30859375,41.9921875,0.0
1732201844.4254115,53.7109375,4.39453125,-434.08203125,37.109375,0.0
1732201844.429317,43.45703125,-3.41796875,-469.23828125,44.43359375,0.0
1732201844.4332225,21.97265625,-17.578125,-448.2421875,12.20703125,0.0
1732201844.437128,40.0390625,-17.578125,-403.3203125,28.80859375,0.0
1732201844.4410334,69.3359375,-27.83203125,-536.62109375,84.9609375,0.0
1732201844.444939,81.0546875,-50.78125,-684.08203125,114.2578125,0.0
1732201844.4488444,60.05859375,-28.80859375,-621.09375,88.8671875,0.0
1732201844.45275,14.6484375,19.53125,-290.52734375,71.2890625,0.0
1732201844.4566555,85.9375,-5.37109375,-308.10546875,7.8125,0.0
1732201844.460561,183.59375,-46.875,-501.953125,13.18359375,0.0
1732201844.4644666,198.2421875,-28.80859375,-479.98046875,70.3125,0.0
1732201844.4683778,142.08984375,6.8359375,-269.53125,15.13671875,0.0
1732201844.4722834,-16.11328125,-19.04296875,-243.65234375,34.1796875,0.0
1732201844.476189,68.359375,-57.6171875,-363.76953125,57.6171875,0.0
1732201844.4800944,267.578125,-35.15625,-382.8125,58.10546875,0.0
1732201844.484,126.46484375,-29.296875,-392.08984375,-19.53125,0.0
1732201844.4879053,57.12890625,-51.26953125,-358.88671875,-87.40234375,0.0
1732201844.4918108,134.765625,-74.21875,-431.640625,-32.2265625,0.0
1732201844.4957163,58.10546875,-24.4140625,-383.7890625,48.828125,0.0
